date_extraction,page,area,reference
2025-03-19,6,Drosia,41601
2025-03-19,6,Livadia,41636
2025-03-19,6,Kamares K Cineplex,41631
2025-03-19,6,Larnaca Center Faneromeni,41585
2025-03-19,6,Drosia,41600
2025-03-19,6,Metropolis Mall Area,41604
2025-03-19,6,Larnaca Center Faneromeni,41584
2025-03-19,6,Metropolis Mall Area,41579
2025-03-19,6,Sotiros,41546
2025-03-19,6,Livadia,37092
2025-03-19,6,Livadia,41539
2025-03-19,6,Kiti,41530
